"FA12.0","FA14.0","FA14.1.n.5","FA15.0","FA16.0","FA16.1n.7","FA16.2n.6","FA16.3n.6","FA16.4n.3","FA18.0","FA18.1n.9","FA18.1n.7","FA18.2n.6","FA18.3n.6","FA18.3n.3","FA18.4n.3","FA20.0","FA20.1n.11","FA20.1n.9","FA20.2","FA20.4n.6","FA20.3","FA20.4n.3","FA20.5n.3","FA22.0","FA22.1n.11","FA22.1n.9","FA21.5n.3","FA22.5n.3","FA22.6n.3","FA24.1n.9"
0.97,9.96,3.89,0.68,8.55,21.94,0.55,0.7,0.2,1.07,22.51,2.2,2.2,0.02,1.3,1.2,0.11,5.76,0.14,0.23,0.46,0.1,0.94,3.2,0.02,5.19,0.2,0.17,1.39,4.02,0.14
1.49,10.39,4.4,0.84,12.75,29.86,0.55,0.67,0.15,0.75,25.03,2.48,1.3,0.02,0.66,0.49,0.1,1.82,0.09,0.12,0.32,0.04,0.4,1.3,0.02,1.86,0.09,0.08,0.52,1.2,0.2
1.32,9.94,8.65,0.25,9.56,44.96,0.12,0.05,0.08,0.65,9.03,2.56,0.45,0.05,0.26,0.29,0.04,0.41,0.15,0.43,0.32,0.02,0.28,3.64,0.02,0.29,0.06,0.15,1.56,4.37,0.03
1.4,10.35,2.9,0.66,9.47,18.22,0.49,0.22,0.21,1.54,27.44,3.14,1.97,0.09,0.96,0.98,0.12,3.36,0.22,0.21,0.53,0.09,0.68,1.92,0.02,3.72,0.23,0.21,2.56,5.83,0.27
0.59,5.55,2.53,0.48,11.69,20.42,0.44,0.28,0.36,2.22,14.05,3.41,1.54,0.06,1.01,1.51,0.08,0.85,0.26,0.25,0.84,0.1,1.02,11.15,0.03,0.55,0.13,0.36,3.67,14.44,0.14
2.57,8.52,3.94,0.72,10.09,21.11,0.62,0.17,0.25,1.39,21.17,2.25,2.78,0.04,1.79,1.44,0.09,1.65,0.13,0.26,0.32,0.06,0.88,4.03,0.02,1.87,0.14,0.24,2.72,8.43,0.29
2.61,15.3,4.7,0.91,9.74,27.11,1.06,0.2,0.12,0.85,25.25,1.47,1.86,0.02,0.63,0.48,0.08,1.22,0.08,0.11,0.16,0.03,0.3,0.57,0.02,1.95,0,0.09,0.9,1.96,0.25
1.52,7.25,1.21,0.73,10.12,13.48,0.55,0.16,0.19,2.62,23.77,3,2.21,0.07,1.12,1.08,0.22,1,0.42,0.3,0.53,0.1,0.77,3.12,0.04,0.75,0.47,0.34,5.73,16.87,0.28
1.74,9.01,2.76,0.56,8.92,15.53,0.53,0.18,0.25,1.82,21.73,2.31,3.05,0.06,1.45,1.45,0.09,3.95,0.13,0.23,0.36,0.07,0.97,3.84,0.02,4.28,0.23,0.3,3.21,10.65,0.31
1.32,6.99,2.67,0.62,12.92,25.12,0.35,0.11,0.15,2.14,28.96,3.13,1.95,0.05,1.06,0.79,0.1,1.49,0.14,0.23,0.46,0.06,0.69,2.4,0.02,1.12,0.08,0.12,1.07,3.43,0.27
1.21,6.23,1.56,0.68,9.82,16.9,0.45,0.15,0.18,2.08,25.21,3.99,2.57,0.04,1.2,1.05,0.1,1.67,0.27,0.3,0.77,0.08,0.92,4.44,0.03,1.6,0.11,0.24,4.81,11,0.31
1.76,8,2.82,0.77,9.6,19.08,0.51,0.17,0.25,1.73,27.38,3,3.33,0.03,1.84,1.69,0.1,1.16,0.18,0.33,0.49,0.07,0.75,2.56,0.04,1.27,0.06,0.19,3.11,7.12,0.6
3.2,14.95,4.59,1,8.65,21.85,0.89,0.13,0.15,0.79,27.61,1.37,2.19,0.04,1.67,1.32,0.1,1.98,0.03,0.13,0.05,0.06,0.02,0.63,0.07,3.47,0.09,0.22,0.46,1.46,0.83
2.32,8.31,2.63,0.95,10.58,25.31,0.73,0.17,0.2,1.24,27.45,2.57,2.46,0.07,1.8,1.08,0.07,1.4,0.08,0.16,0.44,0.04,0.64,2.55,0.02,1.28,0.03,0.09,1.41,3.64,0.26
0.63,4.61,0.44,0.53,11.12,8.96,0.38,0.24,0.26,2.74,16.43,2.79,2.32,0.09,1.34,1.68,0.13,2.21,0.23,0.39,0.58,0.13,1.64,6.84,0.02,2.43,0.18,0.46,7.33,22.22,0.64
1.03,6.51,1.21,0.5,9.68,16.98,0.76,0.24,0.26,1.82,29.78,2.84,1.69,0.07,0.88,0.98,0.1,2.31,0.21,0.17,0.51,0.06,0.69,4.41,0.02,2.45,0,0.27,2.92,10.41,0.23
0.76,7.7,0.59,0.56,9.11,8.71,0.43,0.64,0.19,1.94,20.61,2.07,2.7,0.08,1.8,2.26,0.1,7.07,0.33,0.3,0.35,0.14,1.78,4.88,0.02,7.72,0.3,0.32,3.03,13.27,0.21
1.26,7.64,1.14,0.53,9.47,11.16,0.48,0.26,0.19,2.05,26.8,2.17,2.24,0.06,0.98,1.13,0.09,4.83,0.16,0.27,0.5,0.08,0.89,3.45,0.02,5.65,0.28,0.3,3,12.66,0.25
0.57,3.87,1.28,0.39,10.18,15.79,0.61,0.15,0.23,2.06,21.33,7.13,1.34,0.14,0.8,0.94,0.06,1.88,0.52,0.26,1.05,0.07,0.89,7.2,0.03,0.35,0.03,0.34,4.13,16.28,0.12
0.84,8.29,0.73,0.57,10.13,9.45,0.44,0.2,0.19,1.85,18.79,2.01,2.87,0.04,1.76,2.12,0.2,8.91,0.19,0.31,0.32,0.12,1.25,3.99,0.04,10.13,0,0.29,2.79,10.64,0.54
2.32,10.89,3.55,0.81,7.26,26.13,0.96,0.24,0.2,1.13,30.13,2.26,1.68,0.03,1.22,0.8,0.1,1.71,0.15,0.1,0.2,0.03,0.38,0.94,0.03,2.78,0,0.1,0.77,2.72,0.36
1.14,9.37,2.98,0.91,14.06,27.47,0.54,0.09,0.06,1.55,27.04,2.56,1.75,0.03,1.19,0.56,0.13,1.52,0.12,0.16,0.35,0.05,0.51,1.3,0.02,1.97,0,0.05,0.59,1.75,0.17
1.53,9.72,4.06,0.71,13.72,27.53,0.46,0.13,0.15,1.46,20.35,2.32,4.01,0.04,2.6,1.22,0.13,2.08,0.18,0.21,0.23,0.08,0.92,1.79,0.02,2.2,0.02,0.08,0.61,1.2,0.29
0.68,4.94,0.47,0.59,10.66,9.97,0.38,0.16,0.25,2.44,18.32,2.57,2.57,0.1,1.45,1.68,0.12,2.37,0.27,0.39,0.67,0.21,1.53,7.8,0.03,2.56,0.22,0.47,6.73,19.16,0.25
1.14,9.23,3.95,0.81,12.67,26.7,0.26,0.06,0.07,1.79,27.69,3.37,2.06,0.05,1.09,0.56,0.08,1.67,0.2,0.18,0.29,0.14,0.52,1.08,0.03,1.73,0.16,0.07,0.72,1.52,0.15
1.67,12.98,6.07,0.72,8.61,23.89,0.51,0.14,0.18,1.28,17.93,1.8,2.5,0.04,1.34,1.23,0.09,5.46,0.13,0.21,0.24,0.12,0.84,1.74,0.01,6.02,0.21,0.22,1.04,2.62,0.13
2.5,14.36,13.68,0.44,9.52,45.54,0.03,0.02,0.04,0.45,6.24,2.14,0.11,0.01,0.07,0.11,0.04,0.18,0.34,0.29,0.15,0.21,0.09,0.85,0.03,0.07,0.04,0.07,0.61,1.77,0.01
1.39,7.77,2.04,0.64,8.72,16.6,0.59,0.16,0.24,1.74,22.21,2.67,2.46,0.09,1.49,1.34,0.08,3.94,0.13,0.31,0.5,0.17,1.17,4.22,0.01,3.09,0.23,0.28,3.99,11.59,0.15
2.08,13.66,10.8,0.54,11.36,48.01,0.02,0,0.01,0.33,6.77,1.98,0.08,0.01,0.08,0.07,0.04,0.13,0.14,0.26,0.13,0.08,0.04,0.67,0.01,0.03,0.04,0.07,0.69,1.88,0
2.95,17.25,4.97,1.12,11.27,24.53,0.61,0.09,0.09,0.59,23.17,1.33,1.87,0.03,2.26,0.94,0.06,1.62,0.02,0.08,0.15,0.05,0.31,0.54,0.03,2.91,0.1,0.05,0.19,0.47,0.32
1.47,7,2.93,0.76,9.25,25.01,0.47,0.16,0.13,1.33,27.82,3.01,1.31,0.08,1.12,0.89,0.12,1.29,0.23,0.2,0.65,0.12,0.53,2.85,0.03,1.22,0.16,0.15,1.71,7.71,0.28
1.29,9.24,1.83,0.67,10.31,17.1,0.7,0.24,0.28,1.55,26.24,2.17,1.68,0.12,1.01,1.1,0.14,3.06,0.15,0.2,0.52,0.07,0.81,3.99,0.03,4.39,0.21,0.23,2.36,8.11,0.21
1.18,9.73,7.92,0.17,11.83,56.77,0.02,0.14,0.01,0.31,5.54,1.82,0.08,0.01,0.04,0.06,0.01,0.08,0.09,0.24,0.13,0,0.03,0.57,0.02,0.11,0.01,0.08,0.91,2.03,0.07
1.48,7.98,2.65,0.57,10.06,24.17,0.88,0.28,0.32,1.48,28.79,3.08,1.42,0.07,0.69,0.71,0.08,1.67,0.14,0.15,0.47,0.04,0.51,2.41,0.02,1.87,0.1,0.19,2,5.5,0.21
2.34,13.33,6.68,0.8,8.58,36.42,1.08,0.68,0.25,0.42,22.49,0.97,1.32,0.03,0.46,0.06,0.03,0.46,0.11,0.04,0.12,0.26,0.16,0.6,0.01,0.89,0.02,0.05,0.25,0.71,0.37
1.86,11.54,2.13,0.68,13.91,19.77,0.8,0.26,0.15,1.5,28.38,2.37,1.88,0.05,0.69,0.59,0.09,2.22,0.15,0.13,0.31,0.04,0.44,1.59,0.02,2.81,0.2,0.12,1.27,3.86,0.21
1.7,7.43,2.22,0.69,9.53,21.23,0.49,0.17,0.15,1.68,26.29,2.87,2.33,0.06,1.01,0.13,0.09,2,0.27,0.25,0.5,0.06,0.63,2.81,0.03,1.93,0.2,0.21,2.72,10.01,0.28
2.09,9.87,5.14,0.71,10.66,29.77,0.42,0.09,0.08,1.16,26.26,2.25,2.05,0.05,0.97,0.08,0.04,0.66,0.15,0.11,0.25,0.04,0.37,1.43,0.02,0.7,0.06,0.06,0.8,3.51,0.14
2.04,11.72,6.76,0.99,9.97,39.42,0.82,1.08,0.08,0.42,18.83,1.83,1.58,0.02,0.6,0.08,0.03,0.18,0.16,0.09,0.24,0.03,0.15,1.05,0.02,0.21,0.02,0.04,0.6,0.84,0.12
2.41,11.53,4.49,0.8,10.99,32.39,0.66,0.81,0.08,0.82,28.63,1.15,1.14,0.01,0.42,0.04,0.04,0.51,0.11,0.05,0.13,0.02,0.16,0.44,0.02,0.77,0.04,0.02,0.25,0.8,0.26
2.71,12.5,4.25,0.74,8.18,23.9,0.96,0.36,0.2,1.06,27.57,1.98,2.28,0.04,0.92,0.73,0.06,2.64,0.08,0.12,0.21,0.03,0.43,1.08,0.02,3.09,0.11,0.09,0.81,2.57,0.27
2.11,8.79,4.37,0.76,5.59,28.65,0.84,1.05,0.17,0.97,23.7,2.27,2.95,0.09,1.65,0.11,0.07,1.26,0.18,0.19,0.48,0.07,1.07,2.83,0.02,1.27,0.06,0.17,1.89,6.1,0.27
1.4,9.49,2.65,0.67,10.41,19.31,0.75,0.15,0.2,1.46,25.56,2.03,2.38,0.05,0.99,0.11,0.1,3.25,0.13,0.2,0.31,0.08,0.7,2.55,0.02,4.51,0.18,0.16,2.28,7.7,0.21
1.64,11.12,5.56,0.53,8.06,26.7,0.61,0.6,0.29,1.8,18.34,2.72,2.67,0.1,0.91,1.07,0.09,2.3,0.34,0.19,0.37,0.06,0.82,3.1,0.02,1.97,0.18,0.21,1.82,5.59,0.21
2.46,10.15,6.54,0.65,10.16,31.46,0.7,0.14,0.18,0.95,22.83,2.31,2.4,0.04,1.15,0.67,0.03,0.76,0.05,0.1,0.31,0.05,0.41,1.47,0.01,0.65,0.03,0.13,0.66,2.4,0.14
2.63,14.86,4.48,0.87,9.09,26.72,0.82,0.13,0.1,0.7,28.54,1.41,2.84,0.04,1.48,0.09,0.03,1.6,0.02,0.05,0.09,0.02,0.37,0.41,0.01,2.18,0.04,0.03,0.14,0.03,0.18
1.51,8.67,1.95,0.63,10.13,16.42,0.7,0.24,0.34,1.85,23.6,1.87,1.99,0.07,0.97,0.18,0.13,4.64,0.16,0.21,0.31,0.06,0.79,2.16,0.03,5.78,0.29,0.29,2.98,10.66,0.41
1.01,7.99,0.93,0.52,9,7.8,0.53,0.16,0.19,2.43,23.36,2.15,2.32,0.07,1.43,1.85,0.14,9.64,0.23,0.31,0.48,0.15,1.21,3.01,0.03,8.41,0.38,0.28,2.76,11.02,0.23
0.87,5.89,1.27,0.56,10.31,15.95,0.63,0.17,0.2,2.31,24.83,2.42,1.97,0.05,1.29,1.27,0.16,2.27,0.25,0.24,0.67,0.12,1.05,5.86,0.03,2.23,0,0.27,3.06,13.55,0.24
0.6,3.29,0.67,0.38,7.33,10.49,0.62,0.17,0.28,2.31,26.2,3.55,1.44,0.32,0.95,1.08,0.1,2.61,0.27,0.28,1.35,0.14,1.08,7.03,0.02,1.32,0.09,0.39,6.55,18.83,0.26
1.09,7.56,2.29,0.56,7.63,20.31,0.83,0.23,0.26,1.36,28.6,2.92,1.79,0.07,0.93,0.89,0.13,2.69,0.19,0.22,0.59,0.1,0.7,2.45,0.03,2.93,0,0.21,3.34,8.9,0.23
0.79,6.09,2.1,0.54,8.69,20.64,0.46,0.87,0.17,1.71,22.14,3.35,2.33,0.08,1.22,1.2,0.09,2.76,0.28,0.31,0.89,0.12,1.12,6.28,0.02,1.91,0.16,0.2,3.04,10.34,0.09
1.49,5.92,2.16,0.48,6.89,19.4,0.7,0.18,0.14,1.54,29.39,3.23,1.64,0.07,0.72,0.68,0.09,1.39,0.16,0.19,0.68,0.07,0.64,2.88,0.02,1.36,0.1,0.24,5.43,11.85,0.26
0.94,7.22,1.16,0.66,9.27,15.28,0.58,0.21,0.21,1.71,25.28,2.32,2.53,0.09,1.34,1.4,0.13,3.28,0.22,0.27,0.47,0.1,0.97,4.75,0.03,3.39,0.11,0.26,2.66,13.02,0.16
